content,timestamp,platform,stock_name,delta_seconds,weight,label,fear_score,greed_score,neutral_score,reason
다들 나가시길래 전 들어와봤습니당,2024-08-16 00:53:20+00:00,toss,삼성전자,18893571.0,1.0725012707379193e-95,,0.0,0.7,0.3,"다른 사람들이 나가는 상황에서 본인은 들어가보기로 한 결정은 일종의 공격적 매수 심리를 반영하며, 이는 탐욕의 표현으로 볼 수 있음. 그러나 문장에는 강한 감정 표현이나 흥분의 어조가 직접적으로 드러나지 않아 탐욕 점수를 완전히 높게 설정하지 않음. 또한, 이러한 결정을 공유하는 것은 정보 공유의 성격도 있어 중립 점수를 일부 부여함."
또 바느질 하노,2025-01-15 01:56:13+00:00,toss,삼성전자,5756998.0,1.153783336583484e-29,,0.1,0.0,0.9,"비관적이거나 부정적인 어조이나, 구체적인 감정 표현이나 주요 키워드가 부족하여 중립에 가까움"
순전히 개인적인 생각입니다만 삼성주가는 오히려 기레기발 호재성 기사들이 판을 치기 시작할 때 끔찍할 정도로 떨어졌던걸 기억하면 본격적인 물량 넘기기로 보입니다 제가 틀리길 바랍니다만 다들 잘 대처하시길 순탄치 않은 한주의 시작이네요,2024-08-05 02:07:51+00:00,toss,삼성전자,19839500.0,1.8863933146310304e-100,,0.7,0.05,0.25,"문장에서는 공포감이 주를 이루며, 호재성 기사에도 불구하고 주가가 떨어졌던 경험을 언급하며 불안함을 표현하고 있습니다. 탐욕의 요소는 거의 보이지 않으며, 일부 중립적인 분석과 개인적인 의견 표현이 있어 중립 점수를 부여했습니다."
"사면 빠지고
사면 빠지네요에효",2025-02-28 05:25:11+00:00,toss,삼성전자,1942860.0,1.7143694997369438e-10,,0.8,0.0,0.2,"비관적인 어조와 체념의 감정 표현이 포함되어 있으며, 구체적인 긍정적 기대나 정보 공유, 질문이 없음"
재용이가 해먹고 망함,2025-02-03 00:57:50+00:00,toss,삼성전자,4118901.0,1.977476773286587e-21,,0.7,0.0,0.3,비관적 어조와 실패(망함)에 대한 언급으로 공포 감정이 강하게 표현됨. 하지만 특정한 감정 표현이나 강한 어조가 사용되지 않아 중립적 요소도 일부 포함.
"미래도 못보고 투자도 못하는데 멀할까싶다 
삼성 방산기업도 매각할때도 이해안되고 
미래 보고 투자 못하는거 보면 내려와야하는거 아닐까싶다",2024-05-13 12:29:36+00:00,toss,삼성전자,27059795.0,9.603100172000332e-137,,0.7,0.0,0.3,"비관적인 어조와 투자에 대한 불만, 미래에 대한 불확실성 표현이 포함되어 있으나, 일부 고민이나 의문의 표현도 보임"
호이팅,2024-11-14 01:36:58+00:00,toss,삼성전자,11114953.0,1.3491514723200609e-56,,0.0,0.7,0.3,"응원의 의미를 담고 있으나, 과한 흥분이나 자신감의 표현은 아니므로 탐욕 점수를 높게, 중립 점수를 낮게 설정함"
이재용 회장님 화이팅,2023-11-23 02:49:58+00:00,toss,삼성전자,41955373.0,1.2851297863998007e-211,,0.0,0.2,0.8,응원의 메시지이지만 주식 시장에 대한 구체적인 기대나 탐욕을 직접적으로 표현하지 않음
"남의 의견은 참고 참조정도 하는거라 생각해요
그걸로 본의 매수매도를 결정하지 마세요 나중에 매수매도 해놓고 남탓하게 됩니다 본인 돈인데",2024-11-13 00:30:46+00:00,toss,삼성전자,11205325.0,4.7402445470771775e-57,,0.0,0.0,1.0,이성적 조언과 개인의 의사결정 강조로 중립적 태도 표현
"내일 보궐 이내  서울 교육감 선거 하러 가야겠내 솔직히 윤석열 김건희 보기 싫다  근대 이재명도 보기 싫다

허나 금투세 가 더 짜증난다",2024-10-15 06:42:37+00:00,toss,삼성전자,13688614.0,1.5610193060186108e-69,,0.0,0.0,1.0,주식과 관련된 감정이나 태도가 아닌 정치적 인물에 대한 의견과 선거 참여 의사를 표현함
,2024-09-11 00:16:19+00:00,toss,삼성전자,16649392.0,2.0459280796052944e-84,,0.0,0.0,1.0,"입력된 문장이 'nan'으로, 실제 감정이나 내용을 담고 있지 않아 중립으로 판단"
뭔데 무슨일,2025-02-10 05:21:49+00:00,toss,삼성전자,3498262.0,2.604884028421717e-18,,0.0,0.0,1.0,"감정이 명확하게 드러나지 않고, 질문 형태로 정보를 요청하는 중립적인 표현"
오르네요,2025-03-12 05:10:59+00:00,toss,삼성전자,906912.0,2.762839066464032e-05,,0.0,0.7,0.3,"단순한 긍정 표현이지만, 탐욕의 기대감이 느껴지며, 감정 표현이 명확하지 않아 부분적으로 중립적 해석 가능"
"달달하다
빨리 5만 깨져라 풋옵션 정리하게",2025-02-03 00:29:41+00:00,toss,삼성전자,4120590.0,1.9391952433289944e-21,,0.1,0.1,0.8,"주로 정보 공유나 기대감을 표현하고 있으나, 강한 감정 표현이나 분명한 탐욕/공포의 표현이 부족하여 중립에 더 가깝다고 판단됨."
오랜만에 국내주식 와봅니다  내일 사야지,2024-11-14 08:22:48+00:00,toss,삼성전자,11090603.0,1.7883699446538454e-56,,0.0,0.2,0.8,"매수 의사 표현이 있으나 강한 흥분이나 기대감은 없으며, 주로 관망하는 태도를 보임"
내일삼전 6만깨지는날임 슈마컴 상폐,2024-09-26 15:03:16+00:00,toss,삼성전자,15300175.0,1.2382429070259003e-77,,0.8,0.0,0.2,비관적 전망과 상폐(상장 폐지)에 대한 언급으로 공포 감정이 강하게 표현됨. 그러나 특정 정보에 대한 직접적인 감정 표현이 아니라 예측 형태로 제시되어 중립적 요소도 일부 포함.
8만원 쌓인거봐,2024-03-26 02:41:29+00:00,toss,삼성전자,31242282.0,9.097126386482835e-158,,0.0,0.0,1.0,특정 감정이나 투자에 대한 명확한 태도가 드러나지 않음
이제 스르스르 개미들 부르자,2025-02-04 15:07:27+00:00,toss,삼성전자,3981524.0,9.697161842814803e-21,,0.0,0.8,0.2,"개미들을 부르자는 표현은 흥분과 자신감, 공격적 매수 심리를 내포하고 있으며, 이는 탐욕의 감정을 반영한다. 하지만 구체적인 정보나 강한 감정 표현이 부족하여 완전히 탐욕에 치중되지는 않음."
어머니한테 삼전 모아가라했는데 불효자 만드는 삼전의 위엄,2024-11-12 07:04:51+00:00,toss,삼성전자,11268080.0,2.2927631549455641e-57,,0.7,0.0,0.3,"비관적인 어조와 후회의 감정이 드러나며, 종목에 대한 비판이 포함되어 있어 공포 점수가 높음. 다만, 완전한 체념이나 분노의 표현이 아니라 약간의 유머가 섞여 있어 중립 점수도 일부 할당함."
배당금 생각하면 나쁘지 않은데,2025-02-07 03:29:03+00:00,toss,삼성전자,3764228.0,1.1992100677782538e-19,,0.0,0.0,1.0,"배당금에 대한 긍정적인 생각을 언급하고 있지만, 강한 탐욕이나 공포의 감정을 직접적으로 표현하지 않고 있으므로 중립으로 판단"
"뭐냐
다시
6만전자로
내려 가는거니",2023-09-04 04:05:15+00:00,toss,삼성전자,48862856.0,2.443956058279588e-246,,0.7,0.0,0.3,"문장에서 주식의 하락에 대한 불만과 불안이 느껴지며, 비관적인 어조가 포함되어 있어 공포 점수가 높음. 하지만, 직접적인 손실이나 비판의 표현이 없어 중립 점수도 일부 할당함."
"4나노 공정수율이 거진80퍼까지 올라갔고 차세대 공정인 hbm패키징 공정하이브리드공정 을 도입을 처음부터 하고있는중
하이닉스는 시작도안함
Gaa공정을 tsmc보다 더 일찍도입해서 데이터 쌓는중임 길게 보면 또 모른다
그리고 현금이 워낙많아서 장비들 다 사들이고 있는중이고
ddr7만드는 장비들 하이닉스는 없는데 삼성은 이미 다수 보유중 이제 이 장비들로 수율을 높이는데 집중하는중
엑시노스도 좀 해보자",2025-03-22 00:25:04+00:00,toss,삼성전자,60067.0,0.4989647098837292,,0.0,0.2,0.8,"분석적 정보 공유와 장기적 전망 제시로 중립적 태도가 주를 이루며, 경쟁사 대비 우위와 기술적 성과에 대한 낙관적 언급으로 약간의 탐욕 감정이 포함됨"
내가 물린 가격까지 올라왔구나,2024-11-18 00:07:19+00:00,toss,삼성전자,10774732.0,6.921509061845252e-55,,0.0,0.6,0.4,"문장에서 과거의 불안이나 손실에 대한 언급이 있지만, 현재 가격이 회복되었다는 긍정적인 기대감이 드러남. 그러나 과도한 흥분이나 탐욕의 표현은 없어 탐욕 점수를 완전히 높게 설정하지는 않음. 중립적인 요소도 일부 포함되어 있어, 정보의 제시나 상황 설명의 성격도 일부 반영됨."
줄먹해야한다,2024-11-19 04:34:38+00:00,toss,삼성전자,10672293.0,2.2652503881193942e-54,,0.0,0.0,1.0,"문장의 의미가 명확하지 않으며, 공포, 탐욕, 중립 중 어떤 감정도 명확하게 드러나지 않음"
78층 언제올까,2023-05-25 04:31:54+00:00,toss,삼성전자,57674057.0,1.2534115803345306e-290,,0.0,0.0,1.0,"문장에는 감정의 표현이 없고, 단순히 정보에 대한 질문이 포함되어 있어 중립으로 판단"
실화냐,2024-11-11 05:43:34+00:00,toss,삼성전자,11359357.0,7.971686223888644e-58,,0.0,0.0,1.0,질문 형태로 감정이 명확하게 드러나지 않음
7언제 오나,2025-03-13 04:04:00+00:00,toss,삼성전자,824531.0,7.168830955031147e-05,,0.0,0.0,1.0,"감정이 드러나지 않고, 구체적인 정보나 감정 표현 없이 질문 형태로 되어 있어 중립으로 판단"
자기자본 소각중돈이 얼마나 넘치면나좀 주라,2024-11-29 00:25:38+00:00,toss,삼성전자,9823233.0,4.197244593437737e-50,,0.0,0.0,1.0,"감정의 표현이 없고, 정보 공유나 질문의 형태가 아니며, 투자에 대한 직접적인 판단이나 감정이 드러나지 않음"
일목균형표로 보는 삼성전자 보통주 매수 및 매도 전략  httpssupervibetistorycommentryEC9DBCEBAA9EAB7A0ED9895ED919CEBA19CEBB3B4EB8A94EC82BCEC84B1ECA084EC9E90EBB3B4ED86B5ECA3BCEBA7A4EC8898EBB08FEBA7A4EB8F84ECA084EB9EB5,2024-10-23 04:53:46+00:00,toss,삼성전자,13003945.0,4.3145518151073936e-66,,0.0,0.0,1.0,분석적이고 정보 공유 목적의 문장으로 감정 표현이 없음
외국 투자안들어오면 5만원박스권에 계속 있을거라 크게 상승요인은 없을거같아요,2024-12-06 00:47:27+00:00,toss,삼성전자,9217124.0,4.673103653317423e-47,,0.1,0.0,0.9,"분석적인 전망과 함께 상승 요인 부재에 대한 의견을 제시하고 있으나, 강한 감정 표현은 없음"
탈까,2025-03-20 03:01:52+00:00,toss,삼성전자,223459.0,0.075295792779569,,0.0,0.0,1.0,"짧은 문장이지만, 감정이 명확하게 드러나지 않고 투자 판단에 대한 고민이나 질문의 가능성이 있어 중립으로 판단"
노잼이네여 에휴,2024-11-18 05:49:04+00:00,toss,삼성전자,10754227.0,8.775468930217295e-55,,0.0,0.0,1.0,"감정이 명확하게 드러나지 않고, 특정한 감정을 표현하는 키워드가 없으므로 중립으로 판단"
"개미는 오늘도 삼전을 매수하네

뚠뚠 

멍청한 개미는 그냥 싸다고 

매수를 하지만

기업은

뚠뚠

성장성도 없고 기술도 없다네",2024-10-25 01:16:00+00:00,toss,삼성전자,12844211.0,2.7406126973551682e-65,,0.7,0.0,0.3,"비관적 어조와 비판적 내용을 통해 공포 감정이 강하게 표현되었으며, 중립적인 정보 제공의 성격도 일부 포함되어 있음"
빨리빨리나가자,2024-12-01 22:33:26+00:00,toss,삼성전자,9570765.0,7.798461737868362e-49,,0.0,0.8,0.2,"간단한 응원이나 흥분의 표현으로 탐욕의 감정을 나타내며, 명확한 정보나 분석이 없어 중립적 요소도 약간 포함"
httpsmblognavercomjumin4506223588467023,2024-10-10 02:06:01+00:00,toss,삼성전자,14137210.0,8.679908219539206e-72,,0.0,0.0,1.0,"제공된 문장에는 URL만 포함되어 있으며, 감정을 나타내는 특정한 단어나 표현이 없음"
잘 샀다고 본다,2025-01-22 15:18:47+00:00,toss,삼성전자,5104044.0,2.209196963383685e-26,,0.0,0.3,0.7,자신감이 드러나나 과도한 흥분이나 강조는 없어 탐욕보다 중립에 가깝다
내일,2024-09-09 01:59:52+00:00,toss,삼성전자,16815979.0,2.9753043325461696e-85,,0.0,0.0,1.0,감정이나 투자에 대한 명확한 표현이 없음
나 오늘 새벽에 예약주문으로 주식 66900원에 샀는데 체결안됨,2023-11-01 12:19:00+00:00,toss,삼성전자,43822031.0,5.32212511508207e-221,,0.0,0.0,1.0,감정 표현 없이 사실만 전달
이제 갓 성인이 되었는데 돈이 들어올 때마다 하나씩 사보려고요,2025-01-22 15:45:52+00:00,toss,삼성전자,5102419.0,2.2511404509291536e-26,,0.0,0.2,0.8,"투자에 대한 긍정적인 기대와 계획을 밝히고 있으나, 강한 탐욕이나 공포의 감정보다는 중립적인 태도가 더 강하게 드러남"
꿈같네,2024-04-22 04:50:01+00:00,toss,삼성전자,28901770.0,5.292002535006737e-146,,0.0,0.7,0.3,"짧지만 긍정적인 표현으로 탐욕에 가까운 감정을 나타내며, 감정의 명확한 대상이 없어 중립적 요소도 일부 포함"
"가즈아
8600원 벽 빨리 넘어가즈아",2024-07-05 02:06:11+00:00,toss,삼성전자,22518000.0,6.4863541026921795e-114,,0.0,0.9,0.1,유행어 '가즈아' 사용과 긍정적 기대감 표현으로 탐욕 감정이 강하게 드러남. 하지만 정보 공유의 성격도 일부 포함되어 소량의 중립 점수 부여.
"빼빼로 줍기 성공하면
상금 11원을 드려요

httpstossimmzKD6Dmv",2024-11-11 03:23:40+00:00,toss,삼성전자,11367751.0,7.233646486639787e-58,,0.0,0.1,0.9,"이벤트 참여 유도 문구로, 특정 감정 표현보다는 정보 제공에 가까움"
민주당,2024-09-25 06:05:19+00:00,toss,삼성전자,15418852.0,3.135228531851516e-78,,0.0,0.0,1.0,문장에 주식 시장에 대한 언급이나 감정 표현이 없음
재물을 바치고 주가를 얻다,2025-01-08 01:46:10+00:00,toss,삼성전자,6362401.0,1.0447969004031943e-32,,0.0,0.7,0.3,"문장에서 '재물을 바치고 주가를 얻다'는 표현은 투자를 통해 이득을 기대하는 탐욕의 감정을 반영하지만, 과도한 흥분이나 자신감의 표현은 아니므로 탐욕 점수를 높게, 중립 점수를 낮게 설정함."
어우씨 이건아니야 난 도망갈래,2024-09-11 00:12:18+00:00,toss,삼성전자,16649633.0,2.04022921808766e-84,,0.8,0.0,0.2,"비관적 어조와 도망치고 싶다는 표현을 통해 공포가 강하게 드러나며, 중립적인 요소로는 구체적인 정보나 분석이 없는 점을 고려"
,2024-10-02 01:37:13+00:00,toss,삼성전자,14830138.0,2.854127618772624e-75,,0.0,0.0,1.0,"입력된 문장이 'nan'으로, 실제 감정이나 내용을 분석할 수 있는 문장이 아님"
"7초부터 준비하시고 6후까지도 보세요

계속올리는 척하고 빼잖아요

전형적인 하락패턴이요

코로나 하락 할때도 똑같이 이랬고

블록딜했을 때도 똑같았어요",2024-01-13 11:04:04+00:00,toss,삼성전자,37519327.0,2.5526005638714024e-189,,0.85,0.0,0.15,"문장은 주식의 하락 패턴에 대한 분석과 과거 사례 비교로, 비관적 어조와 하락에 대한 경험을 바탕으로 한 불안감을 표현하고 있어 공포 점수가 높음. 탐욕에 관련된 표현은 없으며, 분석적인 내용이 약간 포함되어 있어 중립 점수를 소량 부여함."
상한가 64800 원인게 웃음벨,2024-11-15 02:51:44+00:00,toss,삼성전자,11024067.0,3.862818707587146e-56,,0.0,0.7,0.3,"웃음벨이라는 표현에서 긍정적이고 흥분된 태도가 엿보이지만, 직접적인 탐욕의 표현보다는 유머러스한 감정 표현에 가까워 탐욕 점수를 완전히 높게 설정하지 않음. 중립 점수는 정보 제공의 성격을 일부 포함하기 때문에 부여."
내일 얼마나 올리려고 신입들 받는겨,2023-07-31 06:44:00+00:00,toss,삼성전자,51877331.0,1.7205388251227077e-261,,0.0,0.7,0.3,"신입들을 받는 것에 대한 기대감과 종목의 상승을 암시하는 표현으로 탐욕의 감정이 높게 나타나며, 직접적인 감정 표현이 아니라 예상을 내포하고 있어 중립적 요소도 일부 포함됨"
4만전자 가겠네,2024-11-13 07:14:40+00:00,toss,삼성전자,11181091.0,6.275008488071465e-57,,0.0,0.0,1.0,감정이 드러나지 않고 구체적인 정보나 예측 없이 관망하는 태도를 보임
뭐야 삼전이 이렇게됐어,2024-03-20 01:36:29+00:00,toss,삼성전자,31764582.0,2.1554292228240267e-160,,0.3,0.0,0.7,"놀람과 불확실성 표현이지만, 명확한 공포나 탐욕의 감정을 직접적으로 표현하지 않음"
삼성전자  가나요,2024-11-15 03:48:20+00:00,toss,삼성전자,11020671.0,4.017672310401344e-56,,0.0,0.0,1.0,"질문 형태로 투자에 대한 고민이나 정보 요청의 성격을 띠고 있으며, 특정한 감정이 드러나지 않음"
와 잘판다,2024-04-08 02:48:31+00:00,toss,삼성전자,30118660.0,4.044396258964135e-152,,0.0,0.0,1.0,"감정의 표현 없이 단순한 평가로, 감정적 내용이 드러나지 않음"
얜 왜 혼자 코로나 전으로 돌아가냐,2024-11-12 00:11:04+00:00,toss,삼성전자,11292907.0,1.7201442800046644e-57,,0.0,0.0,1.0,감정 표현 없이 상황에 대한 의문을 제기함
7은 못참아서 사봄,2024-05-28 02:56:23+00:00,toss,삼성전자,25798188.0,2.108387000358633e-130,,0.0,0.7,0.3,"긍정적인 매수 결정을 표현하고 있으나, 과도한 흥분이나 자신감은 드러나지 않음"
부동산도 반토막날거같아요 다들 조심,2024-12-03 14:23:58+00:00,toss,삼성전자,9427333.0,4.1018332205870357e-48,,0.7,0.0,0.3,"부정적 전망과 주의 권고로 공포 감정이 높으며, 탐욕의 표현이 없고, 일부 중립적 고민이나 정보 공유의 성격을 띄고 있음"
외인 무슨 매일천만씩 던지고나가냐,2025-02-03 10:24:56+00:00,toss,삼성전자,4084875.0,2.931871978531501e-21,,0.7,0.0,0.3,"불만과 불신의 표현이 감지되어 공포 점수가 높으며, 정보 공유의 성격도 일부 포함되어 중립 점수를 부여함."
야호 신난다,2024-08-07 03:44:28+00:00,toss,삼성전자,19660903.0,1.4905967173445127e-99,,0.0,0.7,0.3,"흥분과 긍정적 감정 표현이지만, 주식에 대한 구체적인 내용이 없어 탐욕 점수는 높지만 완전하지 않음. 중립 점수는 주식과 직접적인 연관성이 없는 일반적인 흥분 상태를 반영함."
8만전자 우와,2024-03-26 01:22:49+00:00,toss,삼성전자,31247002.0,8.613484602643153e-158,,0.0,0.7,0.3,"단순한 감탄사 '우와'는 긍정적 감정을 나타내며, 특정 종목에 대한 흥분이나 긍정적 반응을 암시할 수 있으나, 구체적인 탐욕의 표현이나 강한 감정 표현이 부족하여 탐욕 점수를 완전히 높게 설정할 수는 없다. 따라서 중립 점수도 일부 부여하였다."
조국 감방이 호재구나,2024-12-12 05:18:42+00:00,toss,삼성전자,8682449.0,2.2760380211332804e-44,,0.0,0.0,1.0,"감정 표현이나 투자와 관련된 내용이 아닌, 특정 사건에 대한 의견 표현으로 판단됨"
"HBM 수율 꽝인데 엔비디아 립서비스에 또 털리겠네
3나노 수율 20 란 말이 있던데",2024-11-04 08:54:07+00:00,toss,삼성전자,11952724.0,8.297694537681045e-61,,0.7,0.0,0.3,"비관적인 어조와 특정 기술의 실패에 대한 언급으로 공포가 주를 이루나, 구체적인 수치 제시로 일부 중립적 정보 공유의 성격도 포함"
잠정발표같은거때매 후반영쳐맞네,2024-10-31 01:51:30+00:00,toss,삼성전자,12323681.0,1.1332379825512108e-62,,0.7,0.0,0.3,"비관적 어조와 불만을 표현하는 문장으로, 공포 감정이 주를 이루며, 중립적 요소도 일부 포함되어 있으나 탐욕적 요소는 없음"
물려도 삼성에 물려라,2024-11-15 09:58:23+00:00,toss,삼성전자,10998468.0,5.1949233731828005e-56,,0.1,0.3,0.6,"비록 물릴 상황을 언급하고 있지만, 삼성과 같은 대형주에 대한 신뢰와 긍정적 기대감을 표현하고 있으며, 감정 표현보다는 투자에 대한 일반적 조언에 가까워 중립적 성향이 더 강함"
믿고있었다고,2024-06-14 01:00:03+00:00,toss,삼성전자,24336368.0,4.6975472572577886e-123,,0.0,0.0,1.0,"감정의 표현이나 특정한 감정을 지시하는 키워드가 없으며, 단순한 선언적 문장으로 중립적인 태도를 나타냄"
5500에사라,2024-10-04 06:31:43+00:00,toss,삼성전자,14639668.0,2.587507429023421e-74,,0.0,0.9,0.1,매수 충동과 긍정적 기대감 표현
감사합니다,2024-12-16 02:04:25+00:00,toss,삼성전자,8348506.0,1.0858325868767173e-42,,0.0,0.0,1.0,감정 표현 없이 감사의 의사 표현만 함
