text,text_tfidf,text_bert,time,prob_fear,prob_neutral,prob_greed,pred_label
"이름 따라 삼만 까지 가겟네..
사명 십썽전자로 빨리 바꿔라",이름 따라 삼만 까지 가겟네 사명 십썽전자로 빨리 바꿔라,이름 따라 삼만 까지 가겟네.. 사명 십썽전자로 빨리 바꿔라,2024-10-25T09:23:10+09:00,0.0791,0.811,0.1099,1
6 갈까요?,6 갈까요,6 갈까요?,2023-07-07T09:48:12+09:00,0.0272,0.9149,0.058,1
59층 뚫고 갑니다,59층 뚫고 갑니다,59층 뚫고 갑니다,2025-03-19T09:19:55+09:00,0.0584,0.3769,0.5646,2
데공항이야~~~~~~ 떠러진다,데공항이야 떠러진다,데공항이야 떠러진다,2024-03-26T12:22:18+09:00,0.076,0.8586,0.0654,1
하 오늘 오졌네,하 오늘 오졌네,하 오늘 오졌네,2024-10-16T03:32:46+09:00,0.0453,0.9053,0.0494,1
외인 파는데도 잘버티네 다들 새뱃돈 넉넉하게 받으신듯,외인 파는데도 잘버티네 다들 새뱃돈 넉넉하게 받으신듯,외인 파는데도 잘버티네 다들 새뱃돈 넉넉하게 받으신듯,2024-02-13T09:18:31+09:00,0.0847,0.8585,0.0567,1
이걸 들고있어 말어,이걸 들고있어 말어,이걸 들고있어 말어,2024-09-03T11:57:01+09:00,0.0386,0.9418,0.0196,1
"내평단 밑에서 자꾸 깔딱깔딱 거리네...ㅡㅡ
좀 올라와라...ㅠㅠ",내평단 밑에서 자꾸 깔딱깔딱 거리네 좀 올라와라,내평단 밑에서 자꾸 깔딱깔딱 거리네...ㅡㅡ 좀 올라와라...ㅠㅠ,2024-06-05T12:21:59+09:00,0.1138,0.2249,0.6613,2
10주씩 조금씩 사야지,10주씩 조금씩 사야지,10주씩 조금씩 사야지,2024-09-05T11:13:22+09:00,0.0346,0.9331,0.0322,1
와 진짜 귀신같이 내가못참고 일부손절하니까 올라가는것좀보소,와 진짜 귀신같이 내가못참고 일부손절하니까 올라가는것좀보소,와 진짜 귀신같이 내가못참고 일부손절하니까 올라가는것좀보소,2024-10-23T12:22:10+09:00,0.2666,0.278,0.4554,2
님들 토스증권 수수료 비싼편이라던데 계속 토스증권 사용하는 이유가 뭐에요??,님들 토스증권 수수료 비싼편이라던데 계속 토스증권 사용하는 이유가 뭐에요,님들 토스증권 수수료 비싼편이라던데 계속 토스증권 사용하는 이유가 뭐에요??,2024-10-18T10:16:16+09:00,0.1175,0.6998,0.1827,1
오늘도 바닥에서 기고있네..,오늘도 바닥에서 기고있네,오늘도 바닥에서 기고있네..,2024-11-12T09:09:34+09:00,0.1446,0.8024,0.053,1
"삼성은 지금 태동중입니다
다소 시간이 필요합니다
저는 믿고 기다려봅니다
그동안 힘들겠지만",삼성은 지금 태동중입니다 다소 시간이 필요합니다 저는 믿고 기다려봅니다 그동안 힘들겠지만,삼성은 지금 태동중입니다 다소 시간이 필요합니다 저는 믿고 기다려봅니다 그동안 힘들겠지만,2025-02-16T22:50:14+09:00,0.076,0.7578,0.1662,1
삼전 마음잡았니~ 우리도 열심히 일하고 삼전 너도 열심히  일해보자  모두 화이팅합니다~,삼전 마음잡았니 우리도 열심히 일하고 삼전 너도 열심히 일해보자 모두 화이팅합니다,삼전 마음잡았니 우리도 열심히 일하고 삼전 너도 열심히 일해보자 모두 화이팅합니다,2024-01-08T09:39:04+09:00,0.0517,0.604,0.3443,1
"10월 31일 삼성 IR. 컨퍼런스콜에서
자사주 매입 결정하면 오를 가능성은?",10월 31일 삼성 IR 컨퍼런스콜에서 자사주 매입 결정하면 오를 가능성은,10월 31일 삼성 IR. 컨퍼런스콜에서 자사주 매입 결정하면 오를 가능성은?,2024-10-23T08:50:09+09:00,0.358,0.3156,0.3264,0
첫째가 -210.둘째가 이븐. 셋째가 +210 .총 이븐인데  씬나 ㅋㅋㅋㅋ,첫째가 210둘째가 이븐 셋째가 210 총 이븐인데 씬나,첫째가 210.둘째가 이븐. 셋째가 210 .총 이븐인데 씬나 ㅋㅋㅋㅋ,2025-03-21T16:13:35+09:00,0.0778,0.8558,0.0663,1
ㅎㅎ,,ㅎㅎ,2024-10-29T15:02:20+09:00,0.0227,0.9634,0.0139,1
"제발
75000까지 가고 걍 손털게
머리통 아파서 주식 몬하겠음 제발
2차전지 ㅆ 박",제발 75000까지 가고 걍 손털게 머리통 아파서 주식 몬하겠음 제발 2차전지 박,제발 75000까지 가고 걍 손털게 머리통 아파서 주식 몬하겠음 제발 2차전지 ㅆ 박,2023-07-27T11:25:05+09:00,0.2662,0.476,0.2578,1
"오늘 오전에 더 샀어야했는데, 이번에도 과감하지를 못했네요. 모아갑니다!",오늘 오전에 더 샀어야했는데 이번에도 과감하지를 못했네요 모아갑니다,"오늘 오전에 더 샀어야했는데, 이번에도 과감하지를 못했네요. 모아갑니다!",2024-05-27T15:49:06+09:00,0.05,0.1916,0.7584,2
이거 다팔고 하닉으로 가세유 그게나아유,이거 다팔고 하닉으로 가세유 그게나아유,이거 다팔고 하닉으로 가세유 그게나아유,2025-01-16T13:45:14+09:00,0.2175,0.5894,0.1931,1
6월에 10만 전자 보고싶다🎊,6월에 10만 전자 보고싶다,6월에 10만 전자 보고싶다,2024-06-05T09:49:05+09:00,0.0241,0.9368,0.0392,1
"보통 
개인들은 장기
기관들은 단기투자 하나요?

기관들은 
며칠전 엄청 팔았다가 
또 며칠지나서는 엄청 사네요...",보통 개인들은 장기 기관들은 단기투자 하나요 기관들은 며칠전 엄청 팔았다가 또 며칠지나서는 엄청 사네요,보통 개인들은 장기 기관들은 단기투자 하나요? 기관들은 며칠전 엄청 팔았다가 또 며칠지나서는 엄청 사네요...,2023-07-13T13:24:45+09:00,0.4091,0.4116,0.1793,1
반도체중주식은꼴지,반도체중주식은꼴지,반도체중주식은꼴지,2023-07-05T10:17:55+09:00,0.0608,0.8964,0.0429,1
"내 예상은 생각만큼 8은 안될듯..7.7대 예상해 봅니다. 8을 넘기에는 승인 떨어져야 할 듯..
대부분 하닉과 삼전 모두 들고 있지 않으시나요?
전 양쪽 모두 들고 있는데.. 삼전 9는 꿈이고.. 처음 목표치 되면 미련없이 팔꺼임.. 하닉은 일시적으로 하한으로 가겠지만 시간 지나면 복구될듯..
하닉도 목표치 도달하면 뒤 안돌아보고 매도 예정..
주식은 매수타임보다 매도타임 잡기가 훨 어려우며",내 예상은 생각만큼 8은 안될듯77대 예상해 봅니다 8을 넘기에는 승인 떨어져야 할 듯 대부분 하닉과 삼전 모두 들고 있지 않으시나요 전 양쪽 모두 들고 있는데 삼전 9는 꿈이고 처음 목표치 되면 미련없이 팔꺼임 하닉은 일시적으로 하한으로 가겠지만 시간 지나면 복구될듯 하닉도 목표치 도달하면 뒤 안돌아보고 매도 예정 주식은 매수타임보다 매도타임 잡기가 훨 어려우며,내 예상은 생각만큼 8은 안될듯..7.7대 예상해 봅니다. 8을 넘기에는 승인 떨어져야 할 듯.. 대부분 하닉과 삼전 모두 들고 있지 않으시나요? 전 양쪽 모두 들고 있는데.. 삼전 9는 꿈이고.. 처음 목표치 되면 미련없이 팔꺼임.. 하닉은 일시적으로 하한으로 가겠지만 시간 지나면 복구될듯.. 하닉도 목표치 도달하면 뒤 안돌아보고 매도 예정.. 주식은 매수타임보다 매도타임 잡기가 훨 어려우며,2024-06-04T22:30:18+09:00,0.3713,0.1149,0.5137,2
7만 금방임,7만 금방임,7만 금방임,2025-01-07T22:07:58+09:00,0.0183,0.947,0.0347,1
W,W,W,2023-12-14T15:27:41+09:00,0.038,0.9441,0.0179,1
이런결과라면 4만원 까지 내려갈 가능성이 높습니다. 저도 물려있지만 다들 마음의 준비합시다,이런결과라면 4만원 까지 내려갈 가능성이 높습니다 저도 물려있지만 다들 마음의 준비합시다,이런결과라면 4만원 까지 내려갈 가능성이 높습니다. 저도 물려있지만 다들 마음의 준비합시다,2024-11-14T16:29:13+09:00,0.1171,0.7027,0.1801,1
과연,과연,과연,2024-11-11T12:51:37+09:00,0.0242,0.9623,0.0135,1
"버거들이

첫 매수",버거들이 첫 매수,버거들이 첫 매수,2024-10-28T17:54:08+09:00,0.371,0.1712,0.4578,2
"많이떨어지구만 ㅠ
나중애 월급받고 더넣어야징",많이떨어지구만 나중애 월급받고 더넣어야징,많이떨어지구만 ㅠ 나중애 월급받고 더넣어야징,2024-09-05T13:57:52+09:00,0.2907,0.5595,0.1499,1
6만전자 글쎄다 안 올거같은디,6만전자 글쎄다 안 올거같은디,6만전자 글쎄다 안 올거같은디,2024-09-03T23:08:21+09:00,0.0347,0.9051,0.0602,1
ㄱㄱ,,ㄱㄱ,2024-09-27T09:06:09+09:00,0.0225,0.9495,0.028,1
"꼬라지보이 작년 구매평단 나오것다 자쓱아
꼴에 국산 1위면 최소 야마리는 있어야제  답이엄는놈일쎄 ㅎㅎ
일년 토스 이자도 안나오는구만 ..
누굴탓하리 내가 삼돌이여 시방 ..
응삼아 밥뭇나..  밥뭇제?  
형은 박스나 주으로 가마 ..",꼬라지보이 작년 구매평단 나오것다 자쓱아 꼴에 국산 1위면 최소 야마리는 있어야제 답이엄는놈일쎄 일년 토스 이자도 안나오는구만 누굴탓하리 내가 삼돌이여 시방 응삼아 밥뭇나 밥뭇제 형은 박스나 주으로 가마,꼬라지보이 작년 구매평단 나오것다 자쓱아 꼴에 국산 1위면 최소 야마리는 있어야제 답이엄는놈일쎄 ㅎㅎ 일년 토스 이자도 안나오는구만 .. 누굴탓하리 내가 삼돌이여 시방 .. 응삼아 밥뭇나.. 밥뭇제? 형은 박스나 주으로 가마 ..,2024-08-28T09:30:06+09:00,0.1442,0.6714,0.1844,1
삼성 적정주가는 1~2만원 추정,삼성 적정주가는 12만원 추정,삼성 적정주가는 12만원 추정,2024-11-13T13:42:41+09:00,0.0683,0.886,0.0458,1
이야.. 오늘도 제대로네.,이야 오늘도 제대로네,이야.. 오늘도 제대로네.,2024-09-25T11:59:45+09:00,0.0354,0.9033,0.0613,1
이거 법적으로 고발 안되나요? 사기꾼인데 이건,이거 법적으로 고발 안되나요 사기꾼인데 이건,이거 법적으로 고발 안되나요? 사기꾼인데 이건,2024-09-10T14:57:47+09:00,0.1274,0.8202,0.0524,1
너를 빨간불로 다시보는구나ㅜ,너를 빨간불로 다시보는구나,너를 빨간불로 다시보는구나ㅜ,2024-10-23T13:28:59+09:00,0.0917,0.8586,0.0497,1
주가 조작해도 무죄 받는데ㅎㅎ,주가 조작해도 무죄 받는데,주가 조작해도 무죄 받는데ㅎㅎ,2024-11-14T15:39:00+09:00,0.0898,0.8718,0.0383,1
시장가에 매도예약걸면 되나요!??,시장가에 매도예약걸면 되나요,시장가에 매도예약걸면 되나요!??,2024-12-03T23:30:34+09:00,0.3668,0.2654,0.3678,2
"4월에 손절하고 에코ㆍ포홀  70% 수익
탁월한 종목교체  지금까지 존버했으면
지옥이 따로없었겠네요~~ 평단이 77",4월에 손절하고 에코포홀 70 수익 탁월한 종목교체 지금까지 존버했으면 지옥이 따로없었겠네요 평단이 77,4월에 손절하고 에코ㆍ포홀 70 수익 탁월한 종목교체 지금까지 존버했으면 지옥이 따로없었겠네요 평단이 77,2023-07-25T13:21:50+09:00,0.5915,0.1579,0.2506,0
더 올라거?,더 올라거,더 올라거?,2024-04-30T09:37:10+09:00,0.1017,0.7173,0.181,1
미국에서 벌어서 여기다 다 박았다..,미국에서 벌어서 여기다 다 박았다,미국에서 벌어서 여기다 다 박았다..,2024-12-19T10:27:36+09:00,0.0658,0.9073,0.0269,1
영익 9조천억,영익 9조천억,영익 9조천억,2024-10-08T08:49:57+09:00,0.0386,0.9213,0.0401,1
가즈아~~,가즈아,가즈아,2024-04-08T09:55:45+09:00,0.0262,0.0751,0.8987,2
다시 육만전자….  ㅠ.ㅠ,다시 육만전자,다시 육만전자. ㅠ.ㅠ,2024-09-09T14:05:21+09:00,0.0463,0.9078,0.0459,1
555선도 깨지겠다 550까지갈듯,555선도 깨지겠다 550까지갈듯,555선도 깨지겠다 550까지갈듯,2024-11-11T11:47:14+09:00,0.1029,0.6512,0.2459,1
이제 7만원대 안오겠죠?,이제 7만원대 안오겠죠,이제 7만원대 안오겠죠?,2024-04-02T11:28:56+09:00,0.0337,0.9477,0.0186,1
개잡주,개잡주,개잡주,2024-05-14T15:04:33+09:00,0.5988,0.3452,0.056,0
역시는  역시 군... ㅁ ㅊ 잡 주,역시는 역시 군 잡 주,역시는 역시 군... ㅁ ㅊ 잡 주,2024-07-04T09:54:04+09:00,0.0839,0.8623,0.0538,1
올해 제발 7만까지 가주라.. 플리즈,올해 제발 7만까지 가주라 플리즈,올해 제발 7만까지 가주라.. 플리즈,2025-01-22T10:42:14+09:00,0.0449,0.6219,0.3332,1
천하제일바닥핡기 대회,천하제일바닥핡기 대회,천하제일바닥핡기 대회,2024-11-06T11:22:47+09:00,0.2422,0.677,0.0808,1
"노조때문만이 아니고 앤디비아 땜시 외국인 불안 가중. 팔아재껴서 더 그런거 아닌가 생각했는디. 또 다른 악재가 없으믄 좋겠다아ㅠㅠ 
올라라아 부디!",노조때문만이 아니고 앤디비아 땜시 외국인 불안 가중 팔아재껴서 더 그런거 아닌가 생각했는디 또 다른 악재가 없으믄 좋겠다아 올라라아 부디,노조때문만이 아니고 앤디비아 땜시 외국인 불안 가중. 팔아재껴서 더 그런거 아닌가 생각했는디. 또 다른 악재가 없으믄 좋겠다아ㅠㅠ 올라라아 부디!,2024-05-30T09:20:15+09:00,0.1986,0.1559,0.6455,2
그전에 올랐을때 팔았어야 했는데 희망을 가진게 잘못이었어요. 7만전자도 감지덕지다 하고 팔걸 ㅡㅡ,그전에 올랐을때 팔았어야 했는데 희망을 가진게 잘못이었어요 7만전자도 감지덕지다 하고 팔걸,그전에 올랐을때 팔았어야 했는데 희망을 가진게 잘못이었어요. 7만전자도 감지덕지다 하고 팔걸 ㅡㅡ,2023-08-18T10:58:25+09:00,0.3068,0.3934,0.2998,1
개미들이 더 대단하네 외국인 기관물량 다 먹어버리네,개미들이 더 대단하네 외국인 기관물량 다 먹어버리네,개미들이 더 대단하네 외국인 기관물량 다 먹어버리네,2024-10-08T10:34:59+09:00,0.1106,0.8411,0.0483,1
그래도 삼성입니다. 뭔가 수를 써서 8만 회복할겁니다. 저는 4만에 매수하겠습니다.,그래도 삼성입니다 뭔가 수를 써서 8만 회복할겁니다 저는 4만에 매수하겠습니다,그래도 삼성입니다. 뭔가 수를 써서 8만 회복할겁니다. 저는 4만에 매수하겠습니다.,2024-11-11T10:48:55+09:00,0.2451,0.1353,0.6197,2
ㅋㅋ 좀 오르면 ㅋ 계속 오를줄 알고. 덤비면 작살 나~~^^,좀 오르면 계속 오를줄 알고 덤비면 작살 나,ㅋㅋ 좀 오르면 ㅋ 계속 오를줄 알고. 덤비면 작살 나,2024-10-28T18:05:24+09:00,0.2885,0.3904,0.3211,1
나락인가,나락인가,나락인가,2024-10-10T10:29:29+09:00,0.6226,0.2046,0.1728,0
아직 무릎이다 대기해라ㅎㅎ하반기 반등노리고 8만전자간다,아직 무릎이다 대기해라하반기 반등노리고 8만전자간다,아직 무릎이다 대기해라ㅎㅎ하반기 반등노리고 8만전자간다,2023-08-26T12:15:20+09:00,0.067,0.3789,0.554,2
야!!!!!!!!!!!!!!!!!!!!,야,야!!!!!!!!!!!!!!!!!!!!,2024-08-02T14:22:16+09:00,0.0304,0.908,0.0616,1
550까지 우째 안되겠나,550까지 우째 안되겠나,550까지 우째 안되겠나,2024-11-15T13:57:09+09:00,0.041,0.9323,0.0267,1
3.5면 더 좋구요.,35면 더 좋구요,3.5면 더 좋구요.,2024-10-08T11:06:56+09:00,0.0173,0.9172,0.0655,1
돔황챠!!!!!!!,돔황챠,돔황챠!!!!!!!,2024-04-01T14:53:15+09:00,0.0755,0.8263,0.0982,1
이야 상태 좋네 낼도 좋으면 줍줍해야지,이야 상태 좋네 낼도 좋으면 줍줍해야지,이야 상태 좋네 낼도 좋으면 줍줍해야지,2024-11-07T11:43:53+09:00,0.2041,0.6869,0.109,1
단타 어렵내요 다시삼 이제 1프로는 안쳐야지,단타 어렵내요 다시삼 이제 1프로는 안쳐야지,단타 어렵내요 다시삼 이제 1프로는 안쳐야지,2025-02-18T15:26:21+09:00,0.0806,0.8589,0.0605,1
외쿡 살람이 삽니다.,외쿡 살람이 삽니다,외쿡 살람이 삽니다.,2025-02-10T19:00:26+09:00,0.1076,0.7454,0.147,1
볼때마다 아프네... 하,볼때마다 아프네 하,볼때마다 아프네... 하,2024-11-11T13:47:14+09:00,0.0612,0.9091,0.0297,1
오늘왜오름?? 악재 물리치고 급등이네,오늘왜오름 악재 물리치고 급등이네,오늘왜오름?? 악재 물리치고 급등이네,2025-02-10T15:24:42+09:00,0.3462,0.2429,0.411,2
